"Category","Age","Sex","Fate"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Male","Casualty"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Survivor"
"1st Class","Adult","Female","Casualty"
"1st Class","Adult","Female","Casualty"
"1st Class","Adult","Female","Casualty"
"1st Class","Adult","Female","Casualty"
"1st Class","Child","Male","Survivor"
"1st Class","Child","Male","Survivor"
"1st Class","Child","Male","Survivor"
"1st Class","Child","Male","Survivor"
"1st Class","Child","Male","Survivor"
"1st Class","Child","Female","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Survivor"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Male","Casualty"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Survivor"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Adult","Female","Casualty"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Male","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"2nd Class","Child","Female","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Survivor"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
"3rd Class","Adult","Male","Casualty"
