"Class","Crew","Sex","Age","Survived"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"1st",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"2nd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
"3rd",FALSE,"Male","Adult","No"
